City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mount Isa,AU,-20.7333,139.5,74.97,25,0,0.0,clear sky
80,Arman,RU,59.7,150.1667,21.04,89,100,1.7,overcast clouds
81,Sanguem,IN,15.2333,74.1667,91.22,44,18,10.29,few clouds
82,Albany,US,42.6001,-73.9662,31.73,77,1,1.54,clear sky
83,Ayan,RU,56.45,138.1667,27.66,93,34,9.28,scattered clouds
84,Babu,CN,24.4167,111.5167,58.64,91,100,4.41,overcast clouds
85,Surt,LY,31.2089,16.5887,65.34,63,8,15.68,clear sky
86,Bengkulu,ID,-3.8004,102.2655,78.98,87,100,7.27,moderate rain
87,Port-Cartier,CA,50.0334,-66.8654,27.75,62,12,16.69,few clouds
88,Lagoa,PT,39.05,-27.9833,56.93,69,100,17.13,overcast clouds
89,Klaksvik,FO,62.2266,-6.589,49.12,97,100,20.29,overcast clouds
90,Neka,IR,36.6508,53.299,67.96,44,3,8.99,clear sky
91,Yumen,CN,40.2833,97.2,59.05,11,1,10.18,clear sky
92,Talnakh,RU,69.4865,88.3972,18.21,94,100,10.22,light snow
93,Souillac,MU,-20.5167,57.5167,80.98,89,40,16.11,light rain
94,Touros,BR,-5.1989,-35.4608,82.22,74,99,9.33,overcast clouds
95,Bilibino,RU,68.0546,166.4372,6.66,99,69,5.08,broken clouds
96,Belmonte,BR,-15.8631,-38.8828,78.33,73,99,12.44,overcast clouds
97,Denpasar,ID,-8.65,115.2167,83.86,83,75,4.61,broken clouds
98,Charters Towers,AU,-20.1,146.2667,72.14,69,63,13.85,broken clouds
99,Kapaa,US,22.0752,-159.319,71.11,79,65,1.01,broken clouds
100,Lumphat,KH,13.4878,106.9816,86.56,43,81,7.43,broken clouds
101,Bogale,MM,16.2833,95.4,93.56,43,0,15.82,clear sky
102,Bluff,NZ,-46.6,168.3333,48.79,82,100,6.26,overcast clouds
103,Matay,EG,28.419,30.7792,89.6,19,96,11.41,overcast clouds
104,Hermanus,ZA,-34.4187,19.2345,72.81,53,50,10.67,scattered clouds
105,Severo-Kurilsk,RU,50.6789,156.125,29.75,92,78,5.01,broken clouds
106,Lata,PT,40.1629,-8.3327,58.82,54,38,7.27,scattered clouds
107,Karagaylinskiy,RU,54.172,86.5521,59.34,65,100,10.78,overcast clouds
108,Avarua,CK,-21.2078,-159.775,69.85,100,36,2.3,scattered clouds
109,Nanortalik,GL,60.1432,-45.2371,30.6,74,9,10.07,clear sky
110,Tiksi,RU,71.6872,128.8694,8.19,98,100,2.33,overcast clouds
111,Lunenburg,CA,44.3835,-64.3155,41.05,77,35,17.11,scattered clouds
112,Chokurdakh,RU,70.6333,147.9167,-0.58,98,76,5.61,broken clouds
113,Meybod,IR,32.2501,54.0166,72.21,12,0,9.64,clear sky
114,Imbituba,BR,-28.24,-48.6703,62.85,74,23,3.06,few clouds
115,Ponta Do Sol,PT,32.6667,-17.1,68.13,68,11,10.83,few clouds
116,Komsomolskiy,UZ,40.4272,71.7189,84.92,21,90,9.22,overcast clouds
117,Botwood,CA,49.1499,-55.3482,38.89,76,90,14.97,overcast clouds
118,Airai,TL,-8.9266,125.4092,62.89,96,99,2.8,overcast clouds
119,Harlingen,US,26.1906,-97.6961,76.05,96,100,4.61,overcast clouds
120,Port Elizabeth,ZA,-33.918,25.5701,72.1,69,95,3.0,overcast clouds
121,Newtownards,GB,54.5924,-5.6909,54.52,53,40,10.36,scattered clouds
122,Kalinovskaya,RU,43.5758,45.5192,67.28,32,92,7.7,overcast clouds
123,Lebu,CL,-37.6167,-73.65,51.13,85,64,3.18,broken clouds
124,Vao,NC,-22.6667,167.4833,76.91,70,100,2.84,overcast clouds
125,Tokur,RU,53.1333,132.9,23.25,92,100,4.29,overcast clouds
126,Mto Wa Mbu,TZ,-3.35,35.85,81.52,54,90,5.32,overcast clouds
127,Novopavlovka,RU,51.2172,109.2091,59.72,31,5,4.94,clear sky
128,Micheweni,TZ,-4.9667,39.8333,84.79,69,29,13.47,scattered clouds
129,Leningradskiy,RU,69.3833,178.4167,23.88,96,100,9.46,overcast clouds
130,Yellowknife,CA,62.456,-114.3525,-2.18,98,88,5.93,overcast clouds
131,Linqiong,CN,30.4159,103.4609,62.15,65,100,4.56,overcast clouds
132,Sumkino,RU,58.1108,68.3244,42.55,40,19,2.98,few clouds
133,Bambous Virieux,MU,-20.3428,57.7575,82.22,89,40,16.11,moderate rain
134,Sayat,TM,38.7839,63.8803,60.85,68,100,14.29,overcast clouds
135,Coahuayana,MX,18.7333,-103.6833,68.95,90,35,2.84,scattered clouds
136,Eregli,TR,37.5133,34.0467,77.25,21,19,35.84,few clouds
137,Neon Soulion,GR,41.1,23.65,50.05,77,100,1.01,overcast clouds
138,Tallahassee,US,30.4383,-84.2807,64.67,97,40,3.44,scattered clouds
139,Kassala,SD,15.451,36.4,104.41,12,4,3.74,clear sky
140,San Ignacio,BZ,17.1561,-89.0714,69.94,94,0,0.0,clear sky
141,Hangu,CN,39.2489,117.7892,60.84,40,13,9.89,few clouds
142,Hailey,US,43.5196,-114.3153,31.86,67,0,6.91,clear sky
143,Umm Lajj,SA,25.0213,37.2685,88.54,40,17,12.26,few clouds
144,Krasnoselkup,RU,65.7,82.4667,23.85,82,100,16.73,overcast clouds
145,Saint Marys,US,30.7305,-81.5465,69.91,93,100,5.99,overcast clouds
146,Mitsamiouli,KM,-11.3847,43.2844,84.22,66,2,3.11,clear sky
147,Hasaki,JP,35.7333,140.8333,59.4,93,100,12.3,overcast clouds
148,Jumla,NP,29.2747,82.1838,70.18,21,73,9.19,broken clouds
149,Vershino-Darasunskiy,RU,52.35,115.5167,54.03,34,98,13.96,overcast clouds
150,Bubaque,GW,11.2833,-15.8333,74.95,67,49,3.67,scattered clouds
151,Dharchula,IN,29.85,80.5333,89.28,10,7,6.26,clear sky
