City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Havoysund,NO,2022-04-18 04:19:55,70.9963,24.6622,43.03,95,100,20.74
67,Terrace,CA,2022-04-18 04:19:56,54.5163,-128.6035,46.31,31,20,8.05
68,Hilo,US,2022-04-18 04:18:44,19.7297,-155.09,75.27,88,75,5.75
69,Norman Wells,CA,2022-04-18 04:19:56,65.282,-126.8329,24.84,24,20,3.44
70,Puerto Baquerizo Moreno,EC,2022-04-18 04:19:56,-0.9,-89.6,73.96,93,100,5.97
71,Chincha Alta,PE,2022-04-18 04:19:57,-13.4099,-76.1323,61.39,81,0,1.1
72,Palafrugell,ES,2022-04-18 04:19:57,41.9174,3.1631,53.42,76,71,2.51
73,Broken Hill,AU,2022-04-18 04:19:57,-31.95,141.4333,81.84,23,100,14.12
74,Paamiut,GL,2022-04-18 04:19:58,61.994,-49.6678,25.02,88,95,2.71
75,Busselton,AU,2022-04-18 04:19:58,-33.65,115.3333,65.1,59,95,5.46
76,Sept-Iles,CA,2022-04-18 04:19:58,50.2001,-66.3821,36.12,62,75,19.57
77,Aykino,RU,2022-04-18 04:19:59,62.2248,49.9922,34.14,90,83,7.18
78,Pisco,PE,2022-04-18 04:19:59,-13.7,-76.2167,63.01,82,0,9.22
79,Ketchikan,US,2022-04-18 04:19:59,55.3422,-131.6461,44.58,56,0,5.75
80,Santa Fe,AR,2022-04-18 04:19:59,-31.6333,-60.7,63.0,81,6,4.09
81,Zaysan,KZ,2022-04-18 04:20:00,47.4667,84.8667,64.74,14,22,5.03
82,Atambua,ID,2022-04-18 04:20:00,-9.1061,124.8925,84.11,66,100,2.75
83,Upernavik,GL,2022-04-18 04:20:01,72.7868,-56.1549,-4.14,90,100,11.3
84,Agadir,MA,2022-04-18 04:20:02,30.4202,-9.5982,61.25,42,100,5.93
85,Manjakandriana,MG,2022-04-18 04:20:02,-18.9167,47.8,58.69,89,91,2.93
86,Torbay,CA,2022-04-18 04:20:03,47.6666,-52.7314,47.17,92,75,25.32
87,Hermanus,ZA,2022-04-18 04:20:04,-34.4187,19.2345,60.57,86,92,11.01
88,Lebu,CL,2022-04-18 04:16:06,-37.6167,-73.65,51.82,90,26,6.29
89,Masterton,NZ,2022-04-18 04:20:23,-40.9597,175.6575,60.69,72,100,8.03
90,Comodoro Rivadavia,AR,2022-04-18 04:21:05,-45.8667,-67.5,60.66,44,0,6.91
91,Isangel,VU,2022-04-18 04:21:05,-19.55,169.2667,81.93,75,100,5.39
92,Kodiak,US,2022-04-18 04:19:33,57.79,-152.4072,38.71,75,100,14.97
93,Oyon,PE,2022-04-18 04:21:05,-10.6681,-76.7731,42.49,80,8,5.79
94,Tiksi,RU,2022-04-18 04:21:06,71.6872,128.8694,8.85,93,95,3.89
95,Kapaa,US,2022-04-18 04:21:06,22.0752,-159.319,80.58,77,40,20.71
96,Paros,GR,2022-04-18 04:21:06,37.0833,25.15,58.62,77,79,16.11
97,Kijang,KR,2022-04-18 04:16:59,35.2442,129.2139,74.93,34,100,5.14
98,Quelimane,MZ,2022-04-18 04:21:07,-17.8786,36.8883,76.95,94,40,3.44
99,Yellowknife,CA,2022-04-18 04:18:03,62.456,-114.3525,14.52,57,20,3.44
100,Sola,VU,2022-04-18 04:21:07,-13.8833,167.55,82.74,70,12,9.69
101,Algiers,DZ,2022-04-18 04:16:10,36.7525,3.042,46.22,93,16,2.3
102,Broome,US,2022-04-18 04:21:07,42.2506,-75.833,33.85,65,0,1.99
103,Cidreira,BR,2022-04-18 04:21:08,-30.1811,-50.2056,66.79,75,77,10.98
104,Vestmannaeyjar,IS,2022-04-18 04:21:08,63.4427,-20.2734,41.49,73,55,9.91
105,Kirkuk,IQ,2022-04-18 04:21:08,35.4681,44.3922,66.9,32,10,6.22
106,Verkhniy Rohachyk,UA,2022-04-18 04:21:09,47.2505,34.338,40.98,94,100,14.9
107,East London,ZA,2022-04-18 04:18:19,-33.0153,27.9116,59.94,88,0,8.05
108,Eyl,SO,2022-04-18 04:21:09,7.9803,49.8164,83.25,72,32,9.55
109,Port-Cartier,CA,2022-04-18 04:21:09,50.0334,-66.8654,35.82,70,88,16.35
110,Mukdahan,TH,2022-04-18 04:21:10,16.5833,104.5,87.55,54,84,14.5
111,Borogontsy,RU,2022-04-18 04:21:10,62.6683,131.1683,35.64,70,95,12.17
112,Nalut,LY,2022-04-18 04:21:10,30.3333,10.85,57.45,40,0,7.31
113,Kayes,ML,2022-04-18 04:21:10,14.0,-11.0,93.31,10,100,16.62
114,Langub,PH,2022-04-18 04:21:11,10.7981,123.5372,84.45,68,49,11.52
115,Vila Velha,BR,2022-04-18 04:19:07,-20.3297,-40.2925,73.35,81,20,8.05
116,Yumen,CN,2022-04-18 04:21:11,40.2833,97.2,56.23,17,0,11.7
117,De-Kastri,RU,2022-04-18 04:21:11,51.4667,140.7833,35.47,73,90,3.47
118,Port Augusta,AU,2022-04-18 04:21:12,-32.5,137.7667,69.96,57,100,14.65
119,Tuktoyaktuk,CA,2022-04-18 04:21:12,69.4541,-133.0374,12.2,73,75,6.91
120,Angoche,MZ,2022-04-18 04:21:12,-16.2325,39.9086,78.28,79,25,8.81
121,Provideniya,RU,2022-04-18 04:20:59,64.3833,-173.3,32.36,93,100,20.13
122,Dubbo,AU,2022-04-18 04:21:13,-32.25,148.6167,77.13,41,100,9.22
123,Tchibanga,GA,2022-04-18 04:21:13,-2.85,11.0333,71.58,98,100,0.67
124,Avarua,CK,2022-04-18 04:21:13,-21.2078,-159.775,80.65,69,20,3.44
125,Bilibino,RU,2022-04-18 04:21:14,68.0546,166.4372,25.65,81,99,1.32
126,Yoichi,JP,2022-04-18 04:21:14,43.2039,140.7703,45.52,89,100,2.95
